"","ISO","Language","Dialect","Genetics","Speakers","Method","Quantity","Harmony.","Vowels","Structure","Peripheral","Nonperipheral","F1Centroid","F1CentroidPosition","F1UCA","F2Centroid","F2CentroidPosition","F2UCA","combined.label","vnum","vowel","ps","f1","f2","f3","f4","id","f1.bark","f2.bark"
"276.1","???","Akuntsu","","Tupian>Tupari","1","Running speech","Uniform","No",5,"4L1",4,1,"477","0.494880546","446.563","1435.25","0.545127353","1296.073","???  Running speech",1,"i","",332,1840,"","",276,3.35347294938918,12.4516842105263
"276.2","???","Akuntsu","","Tupian>Tupari","1","Running speech","Uniform","No",5,"4L1",4,1,"477","0.494880546","446.563","1435.25","0.545127353","1296.073","???  Running speech",2,"e","",516,1846,"","",276,5.05722132471729,12.4734839726747
"276.3","???","Akuntsu","","Tupian>Tupari","1","Running speech","Uniform","No",5,"4L1",4,1,"477","0.494880546","446.563","1435.25","0.545127353","1296.073","???  Running speech",3,"a","",625,1112,"","",276,5.9521083172147,9.17466145833333
"276.4","???","Akuntsu","","Tupian>Tupari","1","Running speech","Uniform","No",5,"4L1",4,1,"477","0.494880546","446.563","1435.25","0.545127353","1296.073","???  Running speech",4,"u","",435,943,"","",276,4.33945720250522,8.17886324491905
"1.1","aeb","Tunisian Arabic","Kairouan","AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic","2","Wordlist","long","No",3,"3S0",3,0,"465","0.468208092","451.643","1616","0.540389972","1401.476","aeb Kairouan Wordlist",1,"i","",384,2276,"","",1,3.8620819112628,13.8749952785647
"1.2","aeb","Tunisian Arabic","Kairouan","AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic","2","Wordlist","long","No",3,"3S0",3,0,"465","0.468208092","451.643","1616","0.540389972","1401.476","aeb Kairouan Wordlist",2,"æ","",557,1732,"","",1,5.40292411601112,12.0471722643554
"1.3","aeb","Tunisian Arabic","Kairouan","AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic","2","Wordlist","long","No",3,"3S0",3,0,"465","0.468208092","451.643","1616","0.540389972","1401.476","aeb Kairouan Wordlist",3,"u","",454,840,"","",1,4.51214581607291,7.513
"2.1","afn","Defaka","","NigerCongo>Ijoid","12","Wordlist","Combined","No",7,"7S0",7,0,"469.5714286","0.308529309","503.137","1510.285714","0.447557942","1448.581","afn  Wordlist",1,"i","",363,2113,"2912","",2,3.65942315970727,13.3785514362877
"2.2","afn","Defaka","","NigerCongo>Ijoid","12","Wordlist","Combined","No",7,"7S0",7,0,"469.5714286","0.308529309","503.137","1510.285714","0.447557942","1448.581","afn  Wordlist",2,"e","",418,1917,"2634","",2,4.18260723296888,12.7263244776889
"2.3","afn","Defaka","","NigerCongo>Ijoid","12","Wordlist","Combined","No",7,"7S0",7,0,"469.5714286","0.308529309","503.137","1510.285714","0.447557942","1448.581","afn  Wordlist",3,"_","",446,1866,"2675","",2,4.4397672485453,12.5456560376372
"2.4","afn","Defaka","","NigerCongo>Ijoid","12","Wordlist","Combined","No",7,"7S0",7,0,"469.5714286","0.308529309","503.137","1510.285714","0.447557942","1448.581","afn  Wordlist",4,"a","",751,1446,"2451","",2,6.89689413500553,10.8520493247211
"2.5","afn","Defaka","","NigerCongo>Ijoid","12","Wordlist","Combined","No",7,"7S0",7,0,"469.5714286","0.308529309","503.137","1510.285714","0.447557942","1448.581","afn  Wordlist",5,"_","",542,1144,"2417","",2,5.27776179056755,9.35100515463918
"2.6","afn","Defaka","","NigerCongo>Ijoid","12","Wordlist","Combined","No",7,"7S0",7,0,"469.5714286","0.308529309","503.137","1510.285714","0.447557942","1448.581","afn  Wordlist",6,"o","",423,1064,"2137","",2,4.22897188417961,8.90314814814815
"2.7","afn","Defaka","","NigerCongo>Ijoid","12","Wordlist","Combined","No",7,"7S0",7,0,"469.5714286","0.308529309","503.137","1510.285714","0.447557942","1448.581","afn  Wordlist",7,"u","",344,1022,"2338","",2,3.47288194444444,8.65840375586855
"3.1","afr","Afrikaans","","IndoEuropean>Germanic>WestGermanic>LowFranconian","11","Isolation","Mixed","No",9,"6L3b",6,3,"423.3333333","0.488262911","388.805","1571.666667","0.485779295","1432.815","afr  Isolation",1,"i","",270,2325,"","",3,2.71605381165919,14.0168494749125
"3.2","afr","Afrikaans","","IndoEuropean>Germanic>WestGermanic>LowFranconian","11","Isolation","Mixed","No",9,"6L3b",6,3,"423.3333333","0.488262911","388.805","1571.666667","0.485779295","1432.815","afr  Isolation",2,"_","",355,2150,"","",3,3.58125269978402,13.494695863747
"3.3","afr","Afrikaans","","IndoEuropean>Germanic>WestGermanic>LowFranconian","11","Isolation","Mixed","No",9,"6L3b",6,3,"423.3333333","0.488262911","388.805","1571.666667","0.485779295","1432.815","afr  Isolation",3,"æ","",595,1615,"","",3,5.71342465753425,11.5813706293706
"3.4","afr","Afrikaans","","IndoEuropean>Germanic>WestGermanic>LowFranconian","11","Isolation","Mixed","No",9,"6L3b",6,3,"423.3333333","0.488262911","388.805","1571.666667","0.485779295","1432.815","afr  Isolation",4,"a","",605,1130,"","",3,5.79360623781676,9.27430420711974
"3.5","afr","Afrikaans","","IndoEuropean>Germanic>WestGermanic>LowFranconian","11","Isolation","Mixed","No",9,"6L3b",6,3,"423.3333333","0.488262911","388.805","1571.666667","0.485779295","1432.815","afr  Isolation",5,"_","",460,860,"","",3,4.56611570247934,7.64609929078014
"3.6","afr","Afrikaans","","IndoEuropean>Germanic>WestGermanic>LowFranconian","11","Isolation","Mixed","No",9,"6L3b",6,3,"423.3333333","0.488262911","388.805","1571.666667","0.485779295","1432.815","afr  Isolation",6,"u","",310,1110,"","",3,3.13127753303965,9.16351791530945
"3.7","afr","Afrikaans","","IndoEuropean>Germanic>WestGermanic>LowFranconian","11","Isolation","Mixed","No",9,"6L3b",6,3,"423.3333333","0.488262911","388.805","1571.666667","0.485779295","1432.815","afr  Isolation",7,"y","",250,2080,"","",3,2.50280542986425,13.2731683168317
"3.8","afr","Afrikaans","","IndoEuropean>Germanic>WestGermanic>LowFranconian","11","Isolation","Mixed","No",9,"6L3b",6,3,"423.3333333","0.488262911","388.805","1571.666667","0.485779295","1432.815","afr  Isolation",8,"œ","",455,1400,"","",3,4.52115942028985,10.6408333333333
"3.9","afr","Afrikaans","","IndoEuropean>Germanic>WestGermanic>LowFranconian","11","Isolation","Mixed","No",9,"6L3b",6,3,"423.3333333","0.488262911","388.805","1571.666667","0.485779295","1432.815","afr  Isolation",9,"_","",510,1475,"","",3,5.00566801619433,10.9822998544396
"4.1","aii","Assyrian Neo-Aramaic","Koine","AfroAsiatic>Semitic>Central>Aramaic>Eastern>Central>Northeastern","1","Carrier sentence","Combined","No",6,"5S1",5,1,"425","0.388888889","425.95","1566.666667","0.493333333","1438.75","aii Koine Carrier sentence",1,"i","",250,2200,"","",4,2.50280542986425,13.6483653846154
"4.2","aii","Assyrian Neo-Aramaic","Koine","AfroAsiatic>Semitic>Central>Aramaic>Eastern>Central>Northeastern","1","Carrier sentence","Combined","No",6,"5S1",5,1,"425","0.388888889","425.95","1566.666667","0.493333333","1438.75","aii Koine Carrier sentence",2,"e","",500,1900,"","",4,4.91918699186992,12.6666321243523
"4.3","aii","Assyrian Neo-Aramaic","Koine","AfroAsiatic>Semitic>Central>Aramaic>Eastern>Central>Northeastern","1","Carrier sentence","Combined","No",6,"5S1",5,1,"425","0.388888889","425.95","1566.666667","0.493333333","1438.75","aii Koine Carrier sentence",3,"a","",700,1400,"","",4,6.52526315789474,10.6408333333333
"4.4","aii","Assyrian Neo-Aramaic","Koine","AfroAsiatic>Semitic>Central>Aramaic>Eastern>Central>Northeastern","1","Carrier sentence","Combined","No",6,"5S1",5,1,"425","0.388888889","425.95","1566.666667","0.493333333","1438.75","aii Koine Carrier sentence",4,"o","",500,1150,"","",4,4.91918699186992,9.38366559485531
"4.5","aii","Assyrian Neo-Aramaic","Koine","AfroAsiatic>Semitic>Central>Aramaic>Eastern>Central>Northeastern","1","Carrier sentence","Combined","No",6,"5S1",5,1,"425","0.388888889","425.95","1566.666667","0.493333333","1438.75","aii Koine Carrier sentence",5,"u","",250,950,"","",4,2.50280542986425,8.22240549828179
